School ID,School Name,Head / Position,Address,School Type,Latitude,Longitude,District,City,Region,Country
136418,A. C. Herrera Elementary School,"FABONAN, NICHOL WAYNE FERRIOL - Principal I",S. Teodoro St.,Kinder & Grade 1-6,14.634225,120.9803436,Tondo,Manila,Metro Manila,Philippines
136453,A. Mabini Elementary School,"SAMPANG, RODEL CUNANAN - Principal III","Severino-Soler St.,",Kinder & Grade 1-6,14.6014479,120.9859112,Quiapo,Manila,Metro Manila,Philippines
136436,A. V. Hernandez Elementary School,"SORIANO, EMMANUEL REYES - Principal IV","Sto. Niño St., Bo. Magsaysay",Kinder & Grade 1-6,14.6191337,120.9608738,"107, Tondo",Manila,Metro Manila,Philippines
409082,"A. Veloso Pre-school Foundation, Inc.","AVPSF, AVPSF AVPSF - Administrator",1706 G. Perfecto Street,Kinder,14.615034,120.9720256,Tondo,Manila,Metro Manila,Philippines
401141,"ABE International College of Business & Economics of Manila, Inc.","ABE COLLEGE-MANILA, ABE COLLEGE-MANILA ABE COLLEGE-MANILA - School Director",2578 Legarda Street,Grade 11-12,14.6004252,120.9960371,Sampaloc,Manila,Metro Manila,Philippines
401135,"ABE International College of Business and Accountancy-Taft Manila, Inc.","ABE COLLEGE-TAFT, ABE COLLEGE-TAFT ABE COLLEGE-TAFT - School Director",West East Center Bldg. 1336 Taft Ave. cor. Padre Faura St. Ermita Manila,Grade 11-12,14.579664,120.986584,Ermita,Manila,Metro Manila,Philippines
405674,Access Computer and Technical College-Manila Campus,"ROS, ROSEMARIE M - Administrator","2nd Floor, Access Bldg., C. M. Recto cor. Quezon Blvd., Manila",Grade 11-12,14.6046137,120.9779634,Binondo,Manila,Metro Manila,Philippines
405679,"ACLC College of Manila, Inc.","AMA CLC-MORAYTA, AMA CLC-MORAYTA AMA CLC-MORAYTA - Administrator",2355 Legarda corner Manrique Streets,Grade 11-12,14.6007705,120.9951739,,Manila,Metro Manila,Philippines
406359,Adamson University,ELMAR MONTARIL ABAYA - Principal,"900 San Marcelino St., Ermita","Kinder, Grade 1-6, Grade 7-10 & Grade 11-12 attached to Tertiary",14.5874779,120.9856156,Ermita,Manila,Metro Manila,Philippines
408536,Adonai Conservative Baptist Academy. Inc.,ANTONIO IBARRA SAMONTE JR - School Administrator,"2361-A Laura St., Pandacan, Manila",Kinder & Grade 1-6,14.5896927,121.0062234,860 Pandacan manila,Manila,Metro Manila,Philippines
482110,Affordable Private Education Center (APEC Schools) -España Br.,"GONZAGA, ROENE AILE PENERA - School Head",España Boulevard Corner Sisa Street,Grade 7-10 & Grade 11-12,14.61525,120.9986734,Sampaloc,Manila,Metro Manila,Philippines
482111,"Affordable Private Education Center, Inc. (APEC Schools) -G. Tuazon, Sampaloc, Manila","SELUDO, ROSAREA HERCE - School Head","3F DB Building, 1318 G. Tuazon Street",Grade 7-10 & Grade 11-12,14.6025838,120.9947705,Sampaloc,Maynila,Kalakhang Maynila,Philippines
482108,"Affordable Private Education Center, Inc. (APEC Schools) -Tondo BR.","APECSCHOOLS-TONDO, APECSCHOOLS-TONDO APEC - School Head",CVM 2000 Building Gamban corner C. Playa Streets,Grade 7-10 & Grade 11-12,14.6292864,121.0128184,Sto. Domingo,Quezon City,Metro Manila,Philippines
1482002,Aguinaldo International School,"SCHOOL, AGUINALDO INTERNATIONAL - Principal",1113-1117 San Marcelino St. Ermita Manila,"Kinder, Grade 1-6, Grade 7-10 & Grade 11-12",14.582326,120.9865561,Ermita,Manila,Metro Manila,Philippines
482049,AIM Christian Learning Center,AIM Christian Learning Center AIM Christian Learni AIM Christian Learni - School Administrator,507 F Dalupan St. Sampaloc Manila,Kinder & Grade 1-6,14.6008318,120.9911101,Sampaloc,Manila,Metro Manila,Philippines
410454,"Al-Ilm Arabic English School, Inc.",-,"951 Edward Suites, Arlegui Street",Kinder & Grade 1-6,14.5965365,120.9892979,,Manila,Metro Manila,Philippines
401143,"AMA Computer College - Sta. Mesa, Inc.","ALEJANDRO, EVITA M - School Administrator","3299 R. Magsaysay Boulevard corner Maganda Street, Sta. Mesa",Grade 11-12,14.6018934,121.0052307,Sampaloc,Manila,Metro Manila,Philippines
406506,AMA Computer Learning Center - Paco,"ENRIQUEZ, GIRLIE TAGALICUD - SCHOOL DIRECTOR","3rd Flr., LLS Bldg, 934-936 Pedro Gil St., cor. Agoncillo St., Malate, Manila",Grade 11-12,14.576576,120.989781,Malate,Manila,Metro Manila,Philippines
401144,"AMA Computer Learning Center of Northbay, Inc.","AMA CLC-NORTHBAY, AMA CLC-NORTHBAY AMA CLC-NORTHBAY - Administrator","3/F MTSC Building, Juan Luna corner Capulong Streets",Grade 11-12,14.6203372,120.9650892,Tondo,Manila,Metro Manila,Philippines
408498,"Amazing Kids Preschoolers, Inc.",AKPI AKPI AKPI - Administrator,"517 Pacheco St., tondo, Manila",Kinder,14.6137934,120.9673877,Tondo,Manila,Metro Manila,Philippines
136446,Andres Bonifacio Elementary School,DIOMEDES TAGUBA ROSETE - Principal IV,"Ipil-Tayuman Streets,",Kinder & Grade 1-6,7.7858361,122.588174,,Ipil,Zamboanga Peninsula,Philippines
408538,Angels of Hope Academy Inc.,AHAI AHAI AHAI - Principal,"2239 E. Rodriguez cor. Nava St., Balut, Tondo, Manila",Kinder & Grade 1-6,14.6306479,120.9660991,131 Zone 11,Manila,Metro Manila,Philippines
136469,Antonio A. Maceda Integrated School,MARILYN S ATIENZA - Principal III,Buenos Aires cor. Mangga Ave.,Grade 1-6,-34.6036844,-58.3815591,,Buenos Aires,Buenos Aires,Argentina
305305,Antonio A. Maceda Integrated School (HS),JULIUS JESTRE JARDIOLIN - Principal I,"Buenos Aires St., Sta. Mesa Manila",Grade 7-10,14.6033587,121.0119863,Sampaloc,Manila,Metro Manila,Philippines
305292,Antonio J. Villegas Vocational High School,"BONDOC, ARACELI TAGUINOD - Secondary School Principal IV",Jacinto Street,Grade 7-10,,,,,,
136422,Antonio Luna Elementary School,FERNANDO N. MAGALANG - PRINCIPAL I,"2701 Lico St.,",Kinder & Grade 1-6,14.626331,120.9818508,Tondo,Manila,Metro Manila,Philippines
